Loopline Bridge	loc	said	ref	Murphy
Loopline Bridge	loc	said	ref	Longshoreman
Loopline Bridge	loc	said	ref	Loafer
Loopline Bridge	loc	said	ref	Loafer
Loopline Bridge	loc	said	ref	Murphy
Loopline Bridge	loc	said	ref	Keeper
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	Roman
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	reference
Loopline Bridge	loc	reference	ref	Greek
Loopline Bridge	loc	reference	ref	Novel
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	Royalty
Loopline Bridge	loc	reference	ref	Myth
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	saying
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	person
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	reference	ref	landmark
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	God
Loopline Bridge	loc	reference	ref	currency
Loopline Bridge	loc	said	ref	John Lever
Loopline Bridge	loc	reference	ref	Songverse
Loopline Bridge	loc	reference	ref	saying
Loopline Bridge	loc	said	ref	Murphy
Loopline Bridge	loc	said	ref	Keeper
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	
Loopline Bridge	loc	said	ref	Leopold Bloom
Loopline Bridge	loc	said	ref	Stephen Dedalus
Loopline Bridge	loc	reference	ref	Latin
